Rainfall_mm,Temperature_C,Humidity_%,Soil_Type,Crop_Type,Fertilizer_Used,Irrigation_Status,Region,Crop_Yield_tons_per_hectare
655.2,27.01,56.15,Peaty,Soybean,None,Yes,Central,2.863
873.03,23.45,57.0,Clay,Maize,NPK,No,South,6.475
731.02,28.16,63.81,Silty,Sugarcane,Compost,Yes,West,81.918
995.58,29.07,48.21,Peaty,Wheat,Compost,No,South,2.578
470.97,25.26,50.81,Peaty,Cotton,Urea,Yes,North,2.268
860.4,27.45,47.24,Clay,Maize,NPK,No,South,6.283
646.37,20.27,59.33,Clay,Rice,Compost,Yes,North,5.026
795.63,20.64,56.7,Sandy,Rice,None,No,South,3.378
467.88,18.7,48.78,Silty,Maize,Compost,No,North,5.509
646.06,28.44,49.96,Silty,Soybean,NPK,Yes,North,4.026
813.91,30.7,61.69,Clay,Rice,NPK,No,South,5.261
737.14,19.87,40.44,Peaty,Sugarcane,DAP,No,Central,63.578
763.05,27.81,70.48,Clay,Wheat,DAP,No,East,3.624
787.56,29.24,54.61,Peaty,Sugarcane,DAP,Yes,Central,72.488
519.87,25.0,40.0,Peaty,Rice,Compost,Yes,North,4.147
961.02,35.01,38.19,Clay,Cotton,Urea,No,South,1.426
1067.91,19.71,60.01,Loamy,Wheat,NPK,Yes,South,3.935
849.95,25.11,58.84,Silty,Wheat,Compost,Yes,South,4.03
669.96,12.44,55.84,Peaty,Maize,None,No,South,3.278
945.72,28.73,47.31,Peaty,Maize,NPK,Yes,East,6.528
832.19,23.34,46.8,Loamy,Cotton,Compost,Yes,West,2.516
575.48,17.12,62.36,Sandy,Soybean,None,Yes,North,2.282
840.33,29.97,60.05,Loamy,Wheat,Compost,No,East,3.439
670.94,26.22,54.31,Loamy,Cotton,NPK,No,Central,2.907
723.17,25.47,51.38,Peaty,Maize,DAP,No,West,5.021
647.8399999999999,32.64,48.34,Silty,Maize,DAP,No,West,6.215
877.1,23.09,55.35,Loamy,Wheat,DAP,Yes,South,4.417
892.95,30.22,53.54,Sandy,Sugarcane,Compost,Yes,East,64.171
604.99,30.95,47.52,Clay,Rice,Compost,Yes,Central,4.764
933.37,24.19,66.66,Loamy,Maize,Compost,Yes,South,7.98
973.87,27.04,56.25,Loamy,Soybean,DAP,Yes,South,4.013
524.0,35.39,40.73,Sandy,Soybean,None,No,North,1.779
575.91,21.95,50.85,Silty,Maize,Compost,No,West,6.175
813.45,29.77,47.8,Loamy,Sugarcane,DAP,Yes,Central,88.87
586.45,27.31,43.03,Loamy,Sugarcane,NPK,No,West,88.004
1043.4,33.35,72.51,Silty,Cotton,NPK,No,East,2.063
629.95,26.83,51.13,Sandy,Soybean,None,No,North,2.295
710.39,30.43,43.99,Loamy,Cotton,Compost,Yes,South,2.412
570.96,19.0,50.6,Silty,Soybean,Urea,Yes,North,3.296
495.38,16.28,50.42,Loamy,Rice,DAP,Yes,South,5.017
534.64,21.75,49.04,Clay,Rice,Compost,Yes,North,5.305
986.92,24.79,55.83,Peaty,Wheat,NPK,Yes,South,4.066
700.54,25.23,42.91,Clay,Cotton,DAP,No,West,2.425
770.0,32.46,52.07,Loamy,Maize,None,Yes,West,6.4
702.57,25.04,47.7,Sandy,Cotton,Compost,Yes,West,2.155
568.65,27.12,50.4,Peaty,Maize,None,Yes,West,5.614
319.12,27.7,49.76,Clay,Sugarcane,Urea,No,North,55.608
916.97,23.84,72.35,Silty,Cotton,NPK,Yes,South,2.704
721.82,26.91,60.63,Sandy,Sugarcane,None,Yes,West,53.457
286.37,32.26,24.01,Clay,Rice,None,No,North,2.586
960.58,28.5,60.99,Silty,Rice,Urea,Yes,South,5.495
563.16,29.97,63.39,Loamy,Wheat,Urea,No,North,3.746
595.3,28.67,50.77,Silty,Cotton,NPK,Yes,West,2.578
1065.96,35.24,73.76,Clay,Sugarcane,Urea,Yes,East,54.308
508.69,21.74,41.34,Clay,Maize,Urea,Yes,North,5.672
599.08,39.5,44.96,Unknown,Rice,Urea,No,West,3.397
509.31,31.98,48.83,Silty,Rice,Compost,No,Central,4.561
960.71,32.89,58.04,Silty,Maize,Compost,Yes,South,6.054
454.09,33.55,55.78,Loamy,Sugarcane,Urea,Yes,West,80.25
597.39,32.18,51.96,Silty,Sugarcane,Urea,Yes,Central,78.324
618.37,20.55,51.5,Loamy,Cotton,Compost,No,North,2.473
524.88,21.33,70.31,Unknown,Cotton,Compost,Yes,North,1.95
956.36,30.5,52.91,Clay,Soybean,Urea,Yes,Central,3.174
788.93,29.89,66.09,Sandy,Soybean,DAP,Yes,Central,2.973
1012.7,31.43,63.58,Peaty,Wheat,None,Yes,South,2.714
678.09,27.23,50.63,Peaty,Rice,None,No,North,3.52
663.8,20.41,55.35,Peaty,Cotton,None,No,Central,1.857
920.22,26.45,51.86,Loamy,Sugarcane,NPK,Yes,East,96.256
817.92,30.71,57.05,Silty,Maize,DAP,Yes,East,7.781
481.96,25.73,49.61,Sandy,Sugarcane,NPK,Yes,Central,70.021
1072.11,26.98,65.25,Sandy,Rice,DAP,Yes,South,4.316
456.67,27.15,48.2,Sandy,Soybean,Compost,No,North,2.175
1134.09,24.39,76.01,Sandy,Sugarcane,DAP,Yes,East,54.858
479.22,22.93,42.53,Peaty,Wheat,Compost,Yes,Central,3.493
672.6,37.54,47.94,Sandy,Rice,Compost,Yes,Central,3.149
840.16,34.79,58.72,Silty,Soybean,Urea,No,West,2.663
739.91,32.35,48.35,Peaty,Maize,NPK,Yes,Central,7.07
943.88,29.08,64.26,Sandy,Soybean,Urea,No,South,2.78
912.06,21.98,68.76,Loamy,Wheat,DAP,No,East,3.906
514.6,31.44,46.14,Clay,Rice,Urea,No,West,3.622
993.26,32.58,60.57,Clay,Maize,DAP,No,East,6.243
831.15,25.28,61.86,Clay,Wheat,Urea,Yes,East,4.174
883.88,21.66,64.74,Peaty,Soybean,None,Yes,South,2.787
847.19,29.13,84.77,Sandy,Wheat,DAP,No,Central,2.96
709.94,32.34,43.34,Peaty,Rice,Compost,No,South,3.98
796.33,23.8,67.88,Silty,Cotton,DAP,No,Central,2.482
799.39,29.64,50.85,Loamy,Wheat,Compost,No,West,3.865
860.96,22.46,52.42,Loamy,Wheat,NPK,Yes,South,4.342
905.0,21.32,59.24,Clay,Soybean,Compost,Yes,South,3.226
478.08,28.02,50.06,Clay,Soybean,NPK,No,North,3.141
853.49,22.93,67.08,Clay,Maize,None,No,South,5.092
672.72,29.15,41.69,Sandy,Soybean,NPK,Yes,North,2.921
808.75,27.005000000000003,32.37,Silty,Sugarcane,NPK,Yes,Central,71.282
759.02,22.71,70.65,Silty,Rice,Urea,Yes,Central,6.199
791.19,32.15,44.3,Silty,Rice,Compost,Yes,Central,4.811
580.0,30.46,59.64,Silty,Cotton,Compost,Yes,North,2.426
515.97,29.1,53.87,Clay,Cotton,NPK,No,Central,2.322
1159.6,24.77,72.27,Loamy,Rice,NPK,Yes,East,5.633
765.98,27.07,59.41,Clay,Cotton,NPK,No,South,2.453
534.98,25.88,56.67,Silty,Maize,NPK,No,North,7.265
827.99,38.67,52.38,Clay,Soybean,Urea,No,Central,2.11
789.81,28.58,40.48,Silty,Rice,Urea,No,East,4.942
993.68,23.17,57.09,Peaty,Cotton,DAP,Yes,South,2.358
721.18,26.6,50.07,Loamy,Rice,None,No,South,4.96
789.21,18.6,48.23,Peaty,Sugarcane,NPK,Yes,Central,78.181
1180.4,17.48,64.0,Sandy,Wheat,NPK,No,East,2.695
439.37,34.31,33.19,Clay,Soybean,NPK,Yes,North,2.908
569.86,28.37,61.43,Sandy,Rice,NPK,No,Central,5.034
911.41,24.74,57.67,Clay,Wheat,None,Yes,South,2.6
765.15,26.87,51.35,Peaty,Cotton,NPK,Yes,South,2.962
573.42,26.48,48.99,Silty,Wheat,Compost,Yes,South,3.829
696.2,27.34,52.67,Silty,Soybean,NPK,No,Central,3.796
700.27,27.075,45.71,Clay,Rice,Urea,Yes,West,4.854
600.73,29.68,52.18,Silty,Sugarcane,NPK,Yes,West,78.153
666.96,24.95,42.88,Peaty,Cotton,DAP,No,West,2.219
1157.33,18.26,51.79,Silty,Rice,Urea,Yes,East,4.736
646.32,21.99,46.08,Peaty,Soybean,NPK,Yes,Central,3.082
866.01,30.79,56.14,Sandy,Cotton,Compost,Yes,South,2.033
997.04,27.075,68.75,Peaty,Maize,None,Yes,East,4.705
602.9,27.075,39.45,Loamy,Wheat,DAP,No,West,4.007
502.94,21.85,57.38,Loamy,Soybean,Compost,Yes,North,3.733
1256.29,24.84,52.26,Loamy,Maize,DAP,No,East,5.194
1018.86,35.92,61.15,Clay,Rice,Urea,Yes,East,4.448
655.48,27.74,40.97,Clay,Sugarcane,DAP,No,Central,71.568
1207.65,23.19,54.04,Unknown,Cotton,DAP,No,East,1.832
862.81,25.19,59.79,Peaty,Wheat,Urea,No,Central,3.113
643.64,24.36,55.31,Clay,Cotton,DAP,Yes,North,2.287
808.54,30.52,62.16,Sandy,Rice,Urea,Yes,South,5.004
1309.85,36.77,58.74,Loamy,Cotton,NPK,Yes,South,1.56
647.8399999999999,27.65,56.28,Peaty,Wheat,Urea,No,West,2.579
382.82,32.47,60.16,Loamy,Rice,Compost,Yes,West,4.58
607.44,20.27,54.01,Clay,Cotton,NPK,No,North,2.295
846.46,27.19,42.64,Peaty,Sugarcane,Compost,Yes,South,40.645
278.44,20.3,30.14,Silty,Soybean,None,Yes,West,2.245
978.88,33.06,60.8,Sandy,Rice,NPK,Yes,East,4.77
711.83,28.69,49.66,Clay,Soybean,NPK,Yes,Central,3.879
624.76,20.71,44.53,Clay,Rice,Urea,No,West,4.269
595.33,31.17,50.57,Sandy,Sugarcane,NPK,Yes,North,65.07
829.53,26.85,53.73,Unknown,Soybean,NPK,Yes,South,3.661
529.21,22.44,49.3,Silty,Maize,DAP,Yes,North,6.757
896.22,27.05,50.88,Clay,Wheat,Urea,No,Central,3.272
843.83,18.75,72.71,Clay,Maize,DAP,Yes,Central,6.161
518.71,24.59,41.68,Loamy,Cotton,NPK,Yes,North,2.673
732.23,22.18,52.49,Peaty,Sugarcane,DAP,No,West,74.264
781.04,26.09,39.29,Peaty,Maize,NPK,Yes,West,6.544
759.37,18.35,45.94,Loamy,Rice,Urea,Yes,South,6.258
949.56,18.05,48.58,Peaty,Cotton,NPK,Yes,South,1.937
1023.45,22.75,56.16,Sandy,Cotton,DAP,No,East,1.863
1098.64,26.81,59.98,Peaty,Maize,Urea,No,East,4.938
758.4,22.13,51.79,Peaty,Maize,Compost,No,South,5.349
994.87,29.31,55.52,Loamy,Sugarcane,Urea,No,East,76.926
436.85,30.51,50.45,Silty,Wheat,Urea,No,North,3.21
699.81,22.78,56.32,Peaty,Maize,DAP,Yes,West,6.641
876.22,33.95,38.47,Peaty,Maize,Compost,Yes,East,4.713
918.2,25.49,66.83,Silty,Soybean,None,Yes,East,3.449
568.4,36.16,53.46,Loamy,Rice,NPK,Yes,North,5.066
558.96,25.7,35.51,Silty,Soybean,Compost,No,Central,2.513
657.63,21.39,60.34,Loamy,Soybean,Urea,No,South,4.06
705.88,33.14,62.28,Sandy,Cotton,Compost,Yes,North,2.137
603.49,21.79,36.16,Loamy,Wheat,NPK,Yes,Central,3.664
340.03,32.69,44.3,Sandy,Rice,DAP,No,North,4.063
483.71,27.6,51.78,Sandy,Sugarcane,Urea,Yes,West,69.913
535.04,24.22,59.26,Loamy,Sugarcane,DAP,Yes,North,89.577
786.56,23.16,59.66,Clay,Maize,NPK,No,North,6.806
629.04,26.57,48.08,Loamy,Maize,DAP,Yes,West,7.631
987.43,30.4,51.09,Peaty,Sugarcane,NPK,No,South,68.481
642.37,26.8,41.02,Peaty,Maize,DAP,No,Central,5.474
1027.88,34.4,53.13,Clay,Wheat,Urea,Yes,East,2.557
869.0,21.12,61.68,Sandy,Soybean,DAP,Yes,South,2.736
635.51,26.52,60.08,Clay,Maize,Compost,No,North,5.912
830.11,32.5,53.58,Peaty,Cotton,Urea,Yes,East,2.005
661.28,20.98,62.0,Clay,Maize,Urea,Yes,West,6.105
923.05,32.2,61.72,Loamy,Rice,Urea,No,South,5.506
759.39,27.1,75.41,Clay,Wheat,Urea,Yes,Central,3.813
698.13,27.55,39.3,Sandy,Rice,DAP,Yes,South,4.893
828.61,25.3,54.82,Loamy,Rice,None,Yes,South,5.503
1090.15,20.96,63.5,Silty,Cotton,Compost,Yes,East,1.953
683.87,26.61,68.46,Peaty,Wheat,Compost,Yes,West,3.696
910.07,24.22,46.56,Peaty,Wheat,DAP,Yes,West,3.623
820.6,34.62,48.68,Clay,Wheat,DAP,Yes,South,3.71
351.92,29.55,47.48,Loamy,Wheat,Urea,Yes,West,3.808
930.05,27.17,48.82,Silty,Wheat,Compost,No,East,3.324
600.7,33.59,50.03,Loamy,Cotton,Compost,No,East,2.365
805.32,26.72,43.02,Peaty,Maize,Urea,Yes,Central,6.183
649.52,30.51,62.55,Loamy,Rice,NPK,Yes,West,6.688
700.96,32.82,68.63,Silty,Wheat,Compost,No,Central,3.131
633.64,25.64,66.4,Clay,Maize,DAP,No,North,6.181
1155.99,29.17,64.35,Sandy,Maize,Urea,No,East,5.341
511.35,24.82,51.63,Loamy,Rice,Compost,No,South,4.921
693.7,32.73,53.78,Sandy,Cotton,NPK,Yes,East,1.927
436.69,26.86,55.62,Peaty,Sugarcane,DAP,Yes,North,71.555
854.42,33.85,67.18,Clay,Sugarcane,Urea,No,South,65.738
679.94,27.99,59.31,Clay,Maize,Compost,No,West,5.56
668.72,39.73,52.18,Loamy,Soybean,Urea,Yes,West,2.527
1026.34,23.46,66.17,Clay,Soybean,NPK,Yes,East,2.974
665.54,31.3,53.23,Loamy,Rice,Compost,Yes,South,5.267
780.78,26.78,44.88,Loamy,Sugarcane,Urea,Yes,South,81.956
651.64,25.87,48.3,Sandy,Maize,Urea,Yes,Central,6.252
527.4,17.51,52.25,Clay,Cotton,Compost,No,North,1.562
574.93,27.36,44.54,Loamy,Sugarcane,DAP,No,West,77.562
1038.15,22.13,53.25,Sandy,Maize,Urea,No,East,4.751
728.82,25.45,59.52,Silty,Maize,NPK,No,South,6.915
577.61,22.33,57.0,Sandy,Wheat,DAP,Yes,West,3.391
1075.45,22.99,63.87,Sandy,Cotton,Compost,No,East,1.69
680.67,21.64,49.63,Loamy,Wheat,Urea,No,West,4.165
993.96,21.69,56.18,Peaty,Rice,Compost,Yes,East,4.67
597.4,19.04,57.55,Peaty,Wheat,DAP,No,West,2.589
628.59,28.88,45.36,Peaty,Wheat,None,Yes,Central,2.622
499.74,27.09,38.36,Sandy,Sugarcane,NPK,No,North,59.468
574.43,30.54,55.55,Loamy,Soybean,Urea,Yes,West,4.049
495.34,25.04,48.95,Clay,Maize,DAP,Yes,North,6.489
694.36,23.7,64.34,Sandy,Cotton,DAP,Yes,West,2.346
941.23,26.56,50.3,Sandy,Wheat,Compost,Yes,South,2.758
503.06,30.51,58.66,Loamy,Cotton,NPK,Yes,Central,2.918
968.76,28.5,54.7,Silty,Soybean,Compost,Yes,Central,3.079
468.53,27.06,55.63,Sandy,Soybean,Urea,Yes,North,2.526
970.33,30.32,49.1,Silty,Wheat,NPK,Yes,South,3.151
839.25,27.03,43.94,Silty,Rice,Urea,Yes,East,5.801
919.4,24.04,61.2,Peaty,Wheat,NPK,No,Central,3.559
980.73,31.54,57.41,Loamy,Sugarcane,NPK,No,South,84.005
957.37,20.76,60.42,Silty,Maize,DAP,No,South,6.541
523.17,19.9,42.66,Loamy,Rice,DAP,No,North,4.508
623.99,26.88,55.1,Peaty,Wheat,NPK,Yes,South,3.689
1149.42,27.43,73.18,Loamy,Cotton,NPK,Yes,South,2.441
1128.05,28.17,71.33,Sandy,Rice,DAP,Yes,East,3.853
501.78,25.36,44.64,Silty,Rice,DAP,No,North,5.273
621.79,33.77,42.39,Loamy,Wheat,Compost,No,North,2.953
703.41,19.51,54.04,Clay,Rice,Urea,Yes,South,5.555
714.02,27.67,61.06,Loamy,Cotton,Urea,Yes,East,3.062
652.47,30.79,39.54,Silty,Soybean,Urea,No,West,3.066
580.37,33.92,56.48,Peaty,Rice,Urea,Yes,Central,4.738
477.61,33.67,65.63,Peaty,Soybean,Compost,Yes,North,2.376
992.1,21.52,64.96,Silty,Cotton,None,No,East,1.888
821.91,28.81,43.99,Sandy,Wheat,NPK,Yes,East,2.948
887.97,25.93,48.7,Sandy,Maize,Urea,No,South,4.655
534.38,26.91,45.17,Peaty,Rice,Compost,Yes,Central,4.815
701.87,32.67,52.88,Peaty,Maize,Compost,No,North,4.4
634.95,36.5,55.49,Silty,Cotton,Urea,No,West,2.234
979.13,28.3,65.35,Sandy,Rice,None,Yes,South,3.938
284.11,17.07,43.29,Peaty,Soybean,DAP,No,North,2.069
638.46,18.66,54.82,Sandy,Sugarcane,None,No,North,31.471
1224.58,26.77,55.84,Peaty,Maize,DAP,No,East,3.768
717.64,31.99,48.7,Loamy,Rice,Compost,Yes,Central,6.353
728.32,23.07,61.65,Clay,Maize,Urea,Yes,West,6.63
664.29,26.04,56.9,Loamy,Rice,Compost,Yes,Central,6.607
1056.29,35.09,65.74,Peaty,Wheat,Urea,No,East,2.323
890.18,25.02,49.49,Clay,Soybean,NPK,No,West,3.099
986.94,35.76,59.44,Clay,Maize,NPK,Yes,West,5.236
947.58,24.85,59.63,Peaty,Sugarcane,NPK,Yes,South,71.854
497.05,31.52,52.52,Peaty,Sugarcane,NPK,No,West,69.732
643.5,27.38,61.01,Sandy,Cotton,NPK,Yes,North,2.452
514.35,30.88,50.65,Peaty,Rice,Urea,Yes,Central,4.663
606.34,37.04,64.85,Silty,Maize,Compost,Yes,Central,4.417
823.47,29.1,40.75,Peaty,Cotton,NPK,Yes,South,2.309
956.18,33.31,56.66,Silty,Maize,Compost,No,West,5.577
1214.31,22.53,72.55,Peaty,Rice,NPK,Yes,East,5.135
733.24,22.34,48.69,Sandy,Sugarcane,Urea,Yes,North,74.316
1023.12,18.84,67.13,Silty,Wheat,Urea,No,South,3.242
513.74,21.72,51.06,Loamy,Sugarcane,None,Yes,West,69.612
1035.43,34.59,75.89,Silty,Cotton,Compost,Yes,East,2.082
925.69,27.075,57.3,Sandy,Soybean,Urea,No,West,2.649
967.13,25.66,58.23,Silty,Wheat,NPK,No,South,3.855
1154.52,28.02,77.5,Peaty,Cotton,None,Yes,East,1.626
758.53,30.4,52.28,Peaty,Rice,Urea,Yes,East,4.987
1108.28,30.89,70.62,Sandy,Wheat,NPK,Yes,East,3.116
841.85,28.09,59.3,Clay,Cotton,None,No,East,1.638
616.86,33.91,61.03,Peaty,Rice,None,Yes,West,3.583
1213.3,22.15,61.47,Loamy,Sugarcane,None,Yes,East,56.995
702.07,25.25,53.19,Sandy,Soybean,Compost,Yes,West,2.855
1122.25,32.85,59.5,Silty,Rice,DAP,No,East,4.259
972.25,31.78,43.65,Silty,Maize,Urea,Yes,East,5.5
611.1,28.85,50.1,Loamy,Rice,Urea,Yes,South,6.501
509.71,24.29,75.81,Peaty,Rice,DAP,Yes,West,4.715
752.04,30.94,49.18,Sandy,Soybean,DAP,Yes,West,3.135
750.21,22.45,56.17,Loamy,Maize,Urea,No,Central,7.281
1149.37,32.91,72.52,Peaty,Cotton,DAP,No,South,1.682
668.99,34.61,57.55,Sandy,Cotton,Urea,No,West,1.661
766.08,24.12,54.7,Silty,Rice,NPK,No,South,5.671
896.13,39.94,50.77,Sandy,Maize,DAP,Yes,South,3.958
1049.67,22.01,72.53,Clay,Maize,Compost,No,South,5.335
286.44,26.05,54.6,Sandy,Soybean,Compost,Yes,North,2.46
701.85,25.93,65.39,Clay,Sugarcane,Urea,Yes,West,81.215
710.93,26.48,64.77,Unknown,Cotton,None,No,South,1.571
574.41,34.12,40.07,Clay,Soybean,Compost,No,North,2.232
658.97,29.19,50.36,Silty,Wheat,DAP,No,North,3.531
1082.78,22.84,64.14,Peaty,Cotton,Urea,No,East,1.624
1201.06,27.55,56.41,Clay,Soybean,DAP,No,East,2.39
687.61,30.32,48.71,Clay,Cotton,Urea,Yes,West,2.162
1077.04,29.6,66.67,Silty,Sugarcane,DAP,No,East,69.766
732.28,33.11,59.44,Clay,Wheat,Compost,No,West,2.625
404.54,27.45,62.18,Loamy,Sugarcane,NPK,No,North,82.696
559.76,31.0,44.85,Silty,Wheat,NPK,No,North,3.719
281.15,26.29,38.18,Loamy,Rice,Urea,Yes,West,4.669
1056.53,23.77,77.92,Silty,Soybean,Urea,No,East,3.095
587.26,21.29,49.78,Clay,Wheat,DAP,Yes,East,3.529
777.36,34.83,40.35,Loamy,Sugarcane,Urea,No,West,66.054
948.0,19.46,62.16,Clay,Cotton,Urea,Yes,Central,2.459
1074.81,28.27,52.9,Silty,Wheat,NPK,Yes,East,3.287
997.96,29.05,56.87,Clay,Soybean,Urea,Yes,South,2.942
1180.73,22.1,52.27,Loamy,Wheat,NPK,Yes,East,3.524
634.78,31.5,61.59,Loamy,Maize,Urea,Yes,Central,7.339
359.13,20.25,50.45,Clay,Cotton,None,Yes,North,1.623
537.1,24.1,40.42,Sandy,Soybean,Compost,Yes,North,2.365
435.56,31.82,50.3,Silty,Soybean,NPK,Yes,North,3.549
1011.51,20.5,65.6,Silty,Rice,Urea,Yes,East,5.286
588.21,31.08,50.07,Clay,Sugarcane,NPK,Yes,North,83.923
628.27,32.58,65.81,Sandy,Rice,NPK,No,Central,4.827
592.94,32.37,60.19,Loamy,Soybean,NPK,Yes,Central,3.93
676.88,28.87,49.68,Peaty,Cotton,Compost,Yes,East,2.373
874.68,22.81,55.68,Peaty,Wheat,NPK,Yes,South,4.0
934.47,22.05,48.8,Clay,Wheat,Urea,Yes,East,3.293
495.11,24.48,36.33,Sandy,Cotton,Compost,No,North,1.755
1109.75,11.67,55.23,Sandy,Soybean,NPK,Yes,East,2.296
994.79,27.12,54.27,Silty,Wheat,DAP,Yes,Central,4.038
946.47,26.42,69.54,Loamy,Wheat,Urea,Yes,East,3.645
1057.91,27.38,50.16,Sandy,Wheat,DAP,No,East,2.842
938.11,25.8,59.54,Peaty,Sugarcane,NPK,No,South,76.373
870.2,27.88,59.12,Loamy,Sugarcane,Urea,Yes,Central,86.236
513.23,27.4,44.61,Loamy,Maize,Urea,Yes,West,6.547
508.81,19.7,58.33,Clay,Rice,Urea,Yes,West,5.129
576.28,28.4,49.03,Sandy,Cotton,NPK,No,Central,2.04
309.87,27.075,41.46,Clay,Cotton,Urea,Yes,West,1.876
543.1,18.37,64.0,Sandy,Cotton,NPK,Yes,North,2.11
492.1,31.47,43.11,Silty,Maize,DAP,Yes,West,6.201
587.68,25.51,57.98,Unknown,Sugarcane,NPK,Yes,North,83.175
341.14,30.18,42.28,Clay,Soybean,None,Yes,Central,2.407
641.45,26.78,43.11,Peaty,Soybean,Urea,Yes,West,2.981
611.57,18.1,49.59,Clay,Maize,DAP,Yes,West,5.638
468.26,28.25,68.21,Sandy,Soybean,NPK,Yes,North,3.356
699.73,29.48,42.44,Peaty,Cotton,DAP,Yes,North,2.411
879.31,32.85,51.98,Clay,Rice,Urea,Yes,East,4.798
945.56,31.59,68.74,Clay,Wheat,NPK,No,South,3.077
555.23,32.99,43.59,Silty,Sugarcane,None,No,West,41.661
1148.86,30.68,58.16,Clay,Sugarcane,Compost,No,South,53.268
879.46,24.54,58.67,Loamy,Maize,DAP,No,South,7.642
751.37,24.66,53.23,Peaty,Sugarcane,DAP,Yes,West,74.97
641.45,31.94,56.9,Loamy,Cotton,Urea,Yes,North,2.78
1171.84,25.06,61.33,Peaty,Soybean,NPK,No,East,2.407
721.91,29.65,54.48,Unknown,Cotton,NPK,Yes,Central,2.797
452.38,35.55,48.0,Clay,Maize,NPK,Yes,West,4.891
716.45,23.91,47.79,Clay,Cotton,Urea,Yes,West,2.268
741.57,30.64,40.03,Clay,Soybean,Compost,Yes,Central,2.507
444.57,27.19,64.27,Peaty,Rice,Urea,No,South,4.594
749.21,29.93,48.36,Clay,Maize,DAP,Yes,East,6.75
1005.89,35.07,53.97,Loamy,Rice,NPK,No,South,5.864
913.06,33.69,59.85,Clay,Wheat,Urea,Yes,Central,3.206
687.6,25.07,45.48,Silty,Rice,Compost,Yes,Central,5.359
993.96,34.87,69.75,Loamy,Wheat,NPK,Yes,East,3.043
716.37,25.88,56.36,Clay,Wheat,None,Yes,Central,3.374
705.46,38.44,51.94,Clay,Rice,NPK,No,Central,4.884
978.52,27.16,55.57,Sandy,Maize,NPK,Yes,East,6.5
662.11,30.31,43.64,Peaty,Soybean,Compost,Yes,West,2.917
958.26,30.16,61.67,Loamy,Cotton,Urea,Yes,South,2.608
589.74,21.53,52.88,Sandy,Cotton,DAP,Yes,West,1.925
837.0,33.88,51.57,Silty,Soybean,Compost,Yes,West,3.195
749.97,28.1,59.19,Peaty,Wheat,NPK,No,South,3.359
905.17,24.22,70.75,Loamy,Wheat,Compost,Yes,West,3.683
967.68,23.24,59.47,Clay,Maize,DAP,No,East,6.023
892.19,23.99,55.87,Loamy,Sugarcane,DAP,Yes,South,88.338
455.85,26.62,41.43,Clay,Rice,Urea,Yes,North,4.602
711.41,21.66,52.96,Peaty,Wheat,NPK,Yes,West,3.684
643.5,22.92,49.51,Clay,Cotton,Compost,Yes,Central,1.982
828.69,18.36,48.2,Silty,Maize,NPK,No,South,6.49
641.95,22.95,56.45,Clay,Rice,DAP,No,North,5.254
874.18,33.82,59.67,Silty,Maize,DAP,No,Central,5.56
393.68,33.01,48.48,Peaty,Rice,NPK,No,North,4.589
773.84,28.35,52.58,Unknown,Rice,NPK,Yes,West,5.459
887.18,37.53,65.12,Loamy,Soybean,Compost,No,Central,2.241
385.25,33.07,33.7,Silty,Wheat,Compost,No,West,2.45
573.09,29.17,37.84,Silty,Maize,DAP,No,Central,5.979
1083.57,29.72,63.48,Unknown,Maize,NPK,Yes,South,6.136
993.96,27.44,71.23,Sandy,Soybean,NPK,Yes,East,3.3
1256.39,20.7,66.09,Sandy,Cotton,NPK,Yes,East,1.465
523.4,25.67,51.48,Clay,Cotton,Compost,Yes,North,2.6
621.1,14.03,44.04,Sandy,Wheat,Compost,Yes,Central,1.83
854.2,21.53,39.93,Silty,Wheat,Compost,No,West,2.803
774.66,33.94,47.7,Clay,Sugarcane,NPK,Yes,South,68.113
863.39,27.39,62.42,Peaty,Soybean,Compost,Yes,South,3.376
983.92,21.67,47.1,Loamy,Cotton,Compost,Yes,South,2.468
1098.77,29.64,55.16,Sandy,Rice,Urea,No,East,3.807
530.35,30.02,38.08,Peaty,Maize,None,Yes,West,3.52
939.1,34.71,51.54,Silty,Wheat,NPK,No,South,3.226
856.36,35.89,66.25,Loamy,Maize,DAP,No,South,7.041
297.59,30.91,41.1,Peaty,Maize,Compost,No,North,3.923
630.84,19.43,59.93,Loamy,Sugarcane,Urea,Yes,Central,87.398
454.86,38.4,44.45,Sandy,Cotton,Urea,Yes,Central,1.677
601.08,33.77,63.55,Silty,Wheat,DAP,No,Central,3.298
369.76,26.975,50.19,Loamy,Maize,NPK,No,North,5.895
1116.07,26.92,58.64,Peaty,Wheat,NPK,No,East,2.899
595.05,19.25,50.61,Sandy,Rice,Compost,Yes,North,4.488
1130.79,24.2,51.08,Sandy,Sugarcane,Compost,Yes,South,51.069
511.74,26.75,46.15,Peaty,Rice,DAP,Yes,West,5.207
918.49,25.0,69.73,Peaty,Wheat,Urea,No,South,2.625
734.55,32.47,57.57,Loamy,Wheat,Urea,No,South,3.594
555.26,26.62,34.4,Clay,Cotton,NPK,Yes,West,2.202
640.08,23.12,51.43,Sandy,Maize,None,Yes,Central,5.278
846.05,29.5,58.27,Loamy,Maize,Compost,Yes,North,6.72
1054.58,22.85,67.1,Peaty,Rice,NPK,No,East,4.562
880.84,18.84,54.62,Unknown,Sugarcane,None,Yes,South,64.797
